"Site Crawled","https://summitutilities.com/"
"Start Date","2026-02-27"
"Start Time","20:26:21"
"Last Modified Date","2026-02-27"
"Last Modified Time","20:27:03"
"Elapsed","00:00:42"
"Report Date","2026-02-27"
"Report Time","20:27:47"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","500","100.00%","500","URLs Encountered"
"Total URLs Crawled","499","99.80%","500","URLs Encountered"
"Total Internal blocked by robots.txt","0","0.00%","500","URLs Encountered"
"Total External blocked by robots.txt","1","0.20%","500","URLs Encountered"
""
"URLs Displayed","500","100.00%","500","URLs Displayed"
"Total Internal URLs","443","88.60%","500","URLs Displayed"
"Total External URLs","57","11.40%","500","URLs Displayed"
"Total Internal Indexable URLs","404","80.80%","500","URLs Displayed"
"Total Internal Non-Indexable URLs","39","7.80%","500","URLs Displayed"
""
"Internal"
"All","443","100.00%","443","Internal URLs"
"HTML","104","23.48%","443","Internal URLs"
"JavaScript","13","2.93%","443","Internal URLs"
"CSS","107","24.15%","443","Internal URLs"
"Images","207","46.73%","443","Internal URLs"
"Media","0","0.00%","443","Internal URLs"
"Fonts","0","0.00%","443","Internal URLs"
"XML","0","0.00%","443","Internal URLs"
"PDF","10","2.26%","443","Internal URLs"
"Plugins","0","0.00%","443","Internal URLs"
"Other","2","0.45%","443","Internal URLs"
"Unknown","0","0.00%","443","Internal URLs"
""
"External"
"All","57","100.00%","57","External URLs"
"HTML","50","87.72%","57","External URLs"
"JavaScript","1","1.75%","57","External URLs"
"CSS","0","0.00%","57","External URLs"
"Images","0","0.00%","57","External URLs"
"Media","0","0.00%","57","External URLs"
"Fonts","0","0.00%","57","External URLs"
"XML","0","0.00%","57","External URLs"
"PDF","3","5.26%","57","External URLs"
"Plugins","0","0.00%","57","External URLs"
"Other","2","3.51%","57","External URLs"
"Unknown","1","1.75%","57","External URLs"
""
"Security"
"All","443","100.00%","443","All internal and non-HTML external URLs"
"HTTP URLs","0","0.00%","443","All internal and non-HTML external URLs"
"HTTPS URLs","443","100.00%","443","All internal and non-HTML external URLs"
"Mixed Content","0","0.00%","443","All internal and non-HTML external URLs"
"Form URL Insecure","0","0.00%","443","All internal and non-HTML external URLs"
"Form on HTTP URL","0","0.00%","443","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","20","4.51%","443","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","0","0.00%","443","All internal and non-HTML external URLs"
"Missing HSTS Header","3","0.68%","443","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","3","0.68%","443","All internal and non-HTML external URLs"
"Missing X-Content-Type-Options Header","0","0.00%","443","All internal and non-HTML external URLs"
"Missing X-Frame-Options Header","0","0.00%","443","All internal and non-HTML external URLs"
"Missing Secure Referrer-Policy Header","3","0.68%","443","All internal and non-HTML external URLs"
"Bad Content Type","7","1.58%","443","All internal and non-HTML external URLs"
""
"Response Codes"
"All","500","100.00%","500","All Internal & External Crawled URLs"
"Blocked by Robots.txt","1","0.20%","500","All Internal & External Crawled URLs"
"Blocked Resource","0","0.00%","500","All Internal & External Crawled URLs"
"No Response","0","0.00%","500","All Internal & External Crawled URLs"
"Success (2xx)","485","97.00%","500","All Internal & External Crawled URLs"
"Redirection (3xx)","13","2.60%","500","All Internal & External Crawled URLs"
